transaction_id,transaction_date,account,direction,category,counterparty,amount,status,description
TX-0001,2026-04-03,Operating Account,inflow,Customer Receipts,Northstar Retail,38000,actual,Weekly customer collections
TX-0002,2026-04-04,Operating Account,outflow,Payroll,Payroll Provider,18000,actual,Weekly payroll and benefits
TX-0003,2026-04-05,Operating Account,outflow,Suppliers,Core Materials,7600,actual,Inventory and fulfillment vendors
TX-0004,2026-04-06,Operating Account,outflow,Cloud & Software,CloudStack,2900,actual,Cloud and SaaS services
TX-0005,2026-04-07,Operating Account,outflow,Marketing,Growth Media,4300,actual,Performance marketing
TX-0006,2026-04-04,Operating Account,outflow,Rent,Harbor Properties,7800,actual,Office and warehouse rent
TX-0007,2026-04-10,Operating Account,inflow,Customer Receipts,Apex Distribution,42000,actual,Weekly customer collections
TX-0008,2026-04-11,Operating Account,outflow,Payroll,Payroll Provider,18000,actual,Weekly payroll and benefits
TX-0009,2026-04-12,Operating Account,outflow,Suppliers,PackRight,8450,actual,Inventory and fulfillment vendors
TX-0010,2026-04-13,Operating Account,outflow,Cloud & Software,CloudStack,2900,actual,Cloud and SaaS services
TX-0011,2026-04-14,Operating Account,outflow,Marketing,Growth Media,4800,actual,Performance marketing
TX-0012,2026-04-17,Operating Account,inflow,Customer Receipts,BluePeak Foods,35500,actual,Weekly customer collections
TX-0013,2026-04-18,Operating Account,outflow,Payroll,Payroll Provider,18000,actual,Weekly payroll and benefits
TX-0014,2026-04-19,Operating Account,outflow,Suppliers,TransitWorks,9300,actual,Inventory and fulfillment vendors
TX-0015,2026-04-20,Operating Account,outflow,Cloud & Software,CloudStack,2900,actual,Cloud and SaaS services
TX-0016,2026-04-21,Operating Account,outflow,Marketing,Growth Media,4300,actual,Performance marketing
TX-0017,2026-04-24,Operating Account,inflow,Customer Receipts,Vertex Labs,47000,actual,Weekly customer collections
TX-0018,2026-04-25,Operating Account,outflow,Payroll,Payroll Provider,18000,actual,Weekly payroll and benefits
TX-0019,2026-04-26,Operating Account,outflow,Suppliers,Core Materials,7600,actual,Inventory and fulfillment vendors
TX-0020,2026-04-27,Operating Account,outflow,Cloud & Software,CloudStack,2900,actual,Cloud and SaaS services
TX-0021,2026-04-28,Operating Account,outflow,Marketing,Growth Media,4800,actual,Performance marketing
TX-0022,2026-05-01,Operating Account,inflow,Customer Receipts,Northstar Retail,40500,actual,Weekly customer collections
